Team,Slot,Unit,Notes
Defense,Unit 1,Harsetti,"Christy >250 ER + Adamant Shield
Aria >2k Def, 14k HP, 100 ER + Abyssal Crown
Doris 200ER, 20k HP, 2k def + Guradian Ice Crystals or Water's Origin or Shimadra's Staff 

Focus fire Aria into Flan. You can't lose this. "
Defense,Unit 2,Fallen Cecilia,"Christy >250 ER + Adamant Shield
Aria >2k Def, 14k HP, 100 ER + Abyssal Crown
Doris 200ER, 20k HP, 2k def + Guradian Ice Crystals or Water's Origin or Shimadra's Staff 

Focus fire Aria into Flan. You can't lose this. "
Defense,Unit 3,Afternoon Soak Flan,"Christy >250 ER + Adamant Shield
Aria >2k Def, 14k HP, 100 ER + Abyssal Crown
Doris 200ER, 20k HP, 2k def + Guradian Ice Crystals or Water's Origin or Shimadra's Staff 

Focus fire Aria into Flan. You can't lose this. "
Attack,Unit 1,Aria,"Christy >250 ER + Adamant Shield
Aria >2k Def, 14k HP, 100 ER + Abyssal Crown
Doris 200ER, 20k HP, 2k def + Guradian Ice Crystals or Water's Origin or Shimadra's Staff 

Focus fire Aria into Flan. You can't lose this. "
Attack,Unit 2,Silvertide Christy,"Christy >250 ER + Adamant Shield
Aria >2k Def, 14k HP, 100 ER + Abyssal Crown
Doris 200ER, 20k HP, 2k def + Guradian Ice Crystals or Water's Origin or Shimadra's Staff 

Focus fire Aria into Flan. You can't lose this. "
Attack,Unit 3,Doris,"Christy >250 ER + Adamant Shield
Aria >2k Def, 14k HP, 100 ER + Abyssal Crown
Doris 200ER, 20k HP, 2k def + Guradian Ice Crystals or Water's Origin or Shimadra's Staff 

Focus fire Aria into Flan. You can't lose this. "
Defense,Unit 1,Lone Wolf Peira,"Instead of Mort you can use Boss Arunka, Abyssal Yufine, Green Celine, ML Celine, etc.

Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Fairytale or Abyssal Crown (she needs immunity set if u don't run Boss Arunka)
Mort Holy Sacrifice (ideally immunity set, too)

Peira gonna S3/S1 into Soli. Benimaru pushes. 
S3 Benimaru into Peira (to remove entire enemy team tempo), u 100% kill Peira and ideally kill Flan, too. 
S3 Soli into ADS. Auto from there. 

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here
"
Defense,Unit 2,Afternoon Soak Flan,"Instead of Mort you can use Boss Arunka, Abyssal Yufine, Green Celine, ML Celine, etc.

Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Fairytale or Abyssal Crown (she needs immunity set if u don't run Boss Arunka)
Mort Holy Sacrifice (ideally immunity set, too)

Peira gonna S3/S1 into Soli. Benimaru pushes. 
S3 Benimaru into Peira (to remove entire enemy team tempo), u 100% kill Peira and ideally kill Flan, too. 
S3 Soli into ADS. Auto from there. 

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here
"
Defense,Unit 3,Archdemon Shadow,"Instead of Mort you can use Boss Arunka, Abyssal Yufine, Green Celine, ML Celine, etc.

Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Fairytale or Abyssal Crown (she needs immunity set if u don't run Boss Arunka)
Mort Holy Sacrifice (ideally immunity set, too)

Peira gonna S3/S1 into Soli. Benimaru pushes. 
S3 Benimaru into Peira (to remove entire enemy team tempo), u 100% kill Peira and ideally kill Flan, too. 
S3 Soli into ADS. Auto from there. 

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here
"
Attack,Unit 1,Benimaru,"Instead of Mort you can use Boss Arunka, Abyssal Yufine, Green Celine, ML Celine, etc.

Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Fairytale or Abyssal Crown (she needs immunity set if u don't run Boss Arunka)
Mort Holy Sacrifice (ideally immunity set, too)

Peira gonna S3/S1 into Soli. Benimaru pushes. 
S3 Benimaru into Peira (to remove entire enemy team tempo), u 100% kill Peira and ideally kill Flan, too. 
S3 Soli into ADS. Auto from there. 

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here
"
Attack,Unit 2,Solitaria,"Instead of Mort you can use Boss Arunka, Abyssal Yufine, Green Celine, ML Celine, etc.

Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Fairytale or Abyssal Crown (she needs immunity set if u don't run Boss Arunka)
Mort Holy Sacrifice (ideally immunity set, too)

Peira gonna S3/S1 into Soli. Benimaru pushes. 
S3 Benimaru into Peira (to remove entire enemy team tempo), u 100% kill Peira and ideally kill Flan, too. 
S3 Soli into ADS. Auto from there. 

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here
"
Attack,Unit 3,Mort,"Instead of Mort you can use Boss Arunka, Abyssal Yufine, Green Celine, ML Celine, etc.

Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Fairytale or Abyssal Crown (she needs immunity set if u don't run Boss Arunka)
Mort Holy Sacrifice (ideally immunity set, too)

Peira gonna S3/S1 into Soli. Benimaru pushes. 
S3 Benimaru into Peira (to remove entire enemy team tempo), u 100% kill Peira and ideally kill Flan, too. 
S3 Soli into ADS. Auto from there. 

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here
"
Defense,Unit 1,Lone Wolf Peira,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Mort Holy Sacrifice (ideally immunity set, too)

Benimaru needs 170-180 spd

Strat:
Peira S3(S1 into Soli. Beni moves. Usually Flan S3 into Mort, followed by S1 Yufine. 
Bemimaru S3 into Peira. If Flan still alive, S3 Soli into Flan. S3 Mort. Auto from there.

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here"
Defense,Unit 2,Afternoon Soak Flan,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Mort Holy Sacrifice (ideally immunity set, too)

Benimaru needs 170-180 spd

Strat:
Peira S3(S1 into Soli. Beni moves. Usually Flan S3 into Mort, followed by S1 Yufine. 
Bemimaru S3 into Peira. If Flan still alive, S3 Soli into Flan. S3 Mort. Auto from there.

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here"
Defense,Unit 3,Abyssal Yufine,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Mort Holy Sacrifice (ideally immunity set, too)

Benimaru needs 170-180 spd

Strat:
Peira S3(S1 into Soli. Beni moves. Usually Flan S3 into Mort, followed by S1 Yufine. 
Bemimaru S3 into Peira. If Flan still alive, S3 Soli into Flan. S3 Mort. Auto from there.

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here"
Attack,Unit 1,Benimaru,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Mort Holy Sacrifice (ideally immunity set, too)

Benimaru needs 170-180 spd

Strat:
Peira S3(S1 into Soli. Beni moves. Usually Flan S3 into Mort, followed by S1 Yufine. 
Bemimaru S3 into Peira. If Flan still alive, S3 Soli into Flan. S3 Mort. Auto from there.

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here"
Attack,Unit 2,Solitaria,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Mort Holy Sacrifice (ideally immunity set, too)

Benimaru needs 170-180 spd

Strat:
Peira S3(S1 into Soli. Beni moves. Usually Flan S3 into Mort, followed by S1 Yufine. 
Bemimaru S3 into Peira. If Flan still alive, S3 Soli into Flan. S3 Mort. Auto from there.

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here"
Attack,Unit 3,Mort,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Mort Holy Sacrifice (ideally immunity set, too)

Benimaru needs 170-180 spd

Strat:
Peira S3(S1 into Soli. Beni moves. Usually Flan S3 into Mort, followed by S1 Yufine. 
Bemimaru S3 into Peira. If Flan still alive, S3 Soli into Flan. S3 Mort. Auto from there.

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Eligos

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Eligos arti is whatever you like
S3 Spoli, S3 Eligos into flan. you win from here"
Defense,Unit 1,Lone Wolf Peira,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Veronica on Oath Key or Andre's Crossbow (also needs 15k+ HP, 1500 Def, 150+ Eff vs counter or er bbk)

Benimaru needs 170-180 spd, Veronica Spd around 200 is ok.

Peira S3/S1
Veronica S3 BBK, S1 Peira if BBK countered otherwise just hit BBK again
Benimaru S3 into Peira.
Veronica s1 to kill off BBK. just auto from here

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Veronica

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Veronica on Guiding Light (+super tanky with high eff)

S3 Spoli, SB S3 Veronica into BBK, if BBK countered, S1 into Peira, if not, s1 into BBK; easy from here. You might lose Veronica on 2nd enemy cycle"
Defense,Unit 2,Afternoon Soak Flan,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Veronica on Oath Key or Andre's Crossbow (also needs 15k+ HP, 1500 Def, 150+ Eff vs counter or er bbk)

Benimaru needs 170-180 spd, Veronica Spd around 200 is ok.

Peira S3/S1
Veronica S3 BBK, S1 Peira if BBK countered otherwise just hit BBK again
Benimaru S3 into Peira.
Veronica s1 to kill off BBK. just auto from here

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Veronica

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Veronica on Guiding Light (+super tanky with high eff)

S3 Spoli, SB S3 Veronica into BBK, if BBK countered, S1 into Peira, if not, s1 into BBK; easy from here. You might lose Veronica on 2nd enemy cycle"
Defense,Unit 3,Blood Blade Karin,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Veronica on Oath Key or Andre's Crossbow (also needs 15k+ HP, 1500 Def, 150+ Eff vs counter or er bbk)

Benimaru needs 170-180 spd, Veronica Spd around 200 is ok.

Peira S3/S1
Veronica S3 BBK, S1 Peira if BBK countered otherwise just hit BBK again
Benimaru S3 into Peira.
Veronica s1 to kill off BBK. just auto from here

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Veronica

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Veronica on Guiding Light (+super tanky with high eff)

S3 Spoli, SB S3 Veronica into BBK, if BBK countered, S1 into Peira, if not, s1 into BBK; easy from here. You might lose Veronica on 2nd enemy cycle"
Attack,Unit 1,Benimaru,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Veronica on Oath Key or Andre's Crossbow (also needs 15k+ HP, 1500 Def, 150+ Eff vs counter or er bbk)

Benimaru needs 170-180 spd, Veronica Spd around 200 is ok.

Peira S3/S1
Veronica S3 BBK, S1 Peira if BBK countered otherwise just hit BBK again
Benimaru S3 into Peira.
Veronica s1 to kill off BBK. just auto from here

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Veronica

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Veronica on Guiding Light (+super tanky with high eff)

S3 Spoli, SB S3 Veronica into BBK, if BBK countered, S1 into Peira, if not, s1 into BBK; easy from here. You might lose Veronica on 2nd enemy cycle"
Attack,Unit 2,Solitaria,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Veronica on Oath Key or Andre's Crossbow (also needs 15k+ HP, 1500 Def, 150+ Eff vs counter or er bbk)

Benimaru needs 170-180 spd, Veronica Spd around 200 is ok.

Peira S3/S1
Veronica S3 BBK, S1 Peira if BBK countered otherwise just hit BBK again
Benimaru S3 into Peira.
Veronica s1 to kill off BBK. just auto from here

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Veronica

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Veronica on Guiding Light (+super tanky with high eff)

S3 Spoli, SB S3 Veronica into BBK, if BBK countered, S1 into Peira, if not, s1 into BBK; easy from here. You might lose Veronica on 2nd enemy cycle"
Attack,Unit 3,Veronica,"Arti:
Benimaru on Symbol of Unity (100% hitchance vs Peira)
Solitaria on Proof of Valor (she needs immunity set)
Veronica on Oath Key or Andre's Crossbow (also needs 15k+ HP, 1500 Def, 150+ Eff vs counter or er bbk)

Benimaru needs 170-180 spd, Veronica Spd around 200 is ok.

Peira S3/S1
Veronica S3 BBK, S1 Peira if BBK countered otherwise just hit BBK again
Benimaru S3 into Peira.
Veronica s1 to kill off BBK. just auto from here

Alternative 1:
Boss Arunka (100% needs immunity set); ML Ilynav (Aurius); Ruele (Candle Stick because 2 AoE units can procc it)

Focus Flan down, S3 Ruele on arunka first thing

Alternative 2:
Amiki, Sea Phantom Politis, Veronica

Amiki mandatory Immunity set
Sea Phantom mandatory Unseen Observer, Veronica on Guiding Light (+super tanky with high eff)

S3 Spoli, SB S3 Veronica into BBK, if BBK countered, S1 into Peira, if not, s1 into BBK; easy from here. You might lose Veronica on 2nd enemy cycle"
Defense,Unit 1,Mort,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill FCC, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: S1 Mort with Taeyou (you won't kill), S2/S3 Luluca into Mort (extinction). FCC/Choux kill themselves on Taeyou"
Defense,Unit 2,Fallen Cecilia,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill FCC, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: S1 Mort with Taeyou (you won't kill), S2/S3 Luluca into Mort (extinction). FCC/Choux kill themselves on Taeyou"
Defense,Unit 3,Urban Shadow Choux,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill FCC, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: S1 Mort with Taeyou (you won't kill), S2/S3 Luluca into Mort (extinction). FCC/Choux kill themselves on Taeyou"
Attack,Unit 1,Sea Phantom Politis,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill FCC, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: S1 Mort with Taeyou (you won't kill), S2/S3 Luluca into Mort (extinction). FCC/Choux kill themselves on Taeyou"
Attack,Unit 2,Top Model Luluca,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill FCC, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: S1 Mort with Taeyou (you won't kill), S2/S3 Luluca into Mort (extinction). FCC/Choux kill themselves on Taeyou"
Attack,Unit 3,Successor Taeyou,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill FCC, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: S1 Mort with Taeyou (you won't kill), S2/S3 Luluca into Mort (extinction). FCC/Choux kill themselves on Taeyou"
Defense,Unit 1,Lone Wolf Peira,"Rinak 300+ spd, Sharun 260+ spd, Arunka mandatory Immunity and highest HP (account for Rinak HP * 1.2). Suggestion: HP/DEF/Immunity set with Noble Oath arti becaue you cant counter anyway.

Rinak S2/S3 on Choux, S3 Sharun. Smoot sailing going forward

If u feel unlucky vs. Mort counters, you can go for Astro Elena but you absolutely have to outspeed Peira or you lose on the spot. "
Defense,Unit 2,Mort,"Rinak 300+ spd, Sharun 260+ spd, Arunka mandatory Immunity and highest HP (account for Rinak HP * 1.2). Suggestion: HP/DEF/Immunity set with Noble Oath arti becaue you cant counter anyway.

Rinak S2/S3 on Choux, S3 Sharun. Smoot sailing going forward

If u feel unlucky vs. Mort counters, you can go for Astro Elena but you absolutely have to outspeed Peira or you lose on the spot. "
Defense,Unit 3,Urban Shadow Choux,"Rinak 300+ spd, Sharun 260+ spd, Arunka mandatory Immunity and highest HP (account for Rinak HP * 1.2). Suggestion: HP/DEF/Immunity set with Noble Oath arti becaue you cant counter anyway.

Rinak S2/S3 on Choux, S3 Sharun. Smoot sailing going forward

If u feel unlucky vs. Mort counters, you can go for Astro Elena but you absolutely have to outspeed Peira or you lose on the spot. "
Attack,Unit 1,Rinak,"Rinak 300+ spd, Sharun 260+ spd, Arunka mandatory Immunity and highest HP (account for Rinak HP * 1.2). Suggestion: HP/DEF/Immunity set with Noble Oath arti becaue you cant counter anyway.

Rinak S2/S3 on Choux, S3 Sharun. Smoot sailing going forward

If u feel unlucky vs. Mort counters, you can go for Astro Elena but you absolutely have to outspeed Peira or you lose on the spot. "
Attack,Unit 2,Dragon King Sharun,"Rinak 300+ spd, Sharun 260+ spd, Arunka mandatory Immunity and highest HP (account for Rinak HP * 1.2). Suggestion: HP/DEF/Immunity set with Noble Oath arti becaue you cant counter anyway.

Rinak S2/S3 on Choux, S3 Sharun. Smoot sailing going forward

If u feel unlucky vs. Mort counters, you can go for Astro Elena but you absolutely have to outspeed Peira or you lose on the spot. "
Attack,Unit 3,Boss Arunka,"Rinak 300+ spd, Sharun 260+ spd, Arunka mandatory Immunity and highest HP (account for Rinak HP * 1.2). Suggestion: HP/DEF/Immunity set with Noble Oath arti becaue you cant counter anyway.

Rinak S2/S3 on Choux, S3 Sharun. Smoot sailing going forward

If u feel unlucky vs. Mort counters, you can go for Astro Elena but you absolutely have to outspeed Peira or you lose on the spot. "
Defense,Unit 1,Harsetti,"Just be giga tanky. Can put Ilynav on Adamant Shield. 

S3 Young Senya, S3 Alencia (yes, we dont care about Bride S3 but we care about def buff); S3 Ilynav into BBK. 

Kill BBK first, then Setti. Bride does nothing after S3.

Dont have Ilynav? Diene and Doris are also fine. Diene is better tho. Fighter Maya also works perfectly fine."
Defense,Unit 2,Dragon Bride Senya,"Just be giga tanky. Can put Ilynav on Adamant Shield. 

S3 Young Senya, S3 Alencia (yes, we dont care about Bride S3 but we care about def buff); S3 Ilynav into BBK. 

Kill BBK first, then Setti. Bride does nothing after S3.

Dont have Ilynav? Diene and Doris are also fine. Diene is better tho. Fighter Maya also works perfectly fine."
Defense,Unit 3,Blood Blade Karin,"Just be giga tanky. Can put Ilynav on Adamant Shield. 

S3 Young Senya, S3 Alencia (yes, we dont care about Bride S3 but we care about def buff); S3 Ilynav into BBK. 

Kill BBK first, then Setti. Bride does nothing after S3.

Dont have Ilynav? Diene and Doris are also fine. Diene is better tho. Fighter Maya also works perfectly fine."
Attack,Unit 1,Empyrean Ilynav,"Just be giga tanky. Can put Ilynav on Adamant Shield. 

S3 Young Senya, S3 Alencia (yes, we dont care about Bride S3 but we care about def buff); S3 Ilynav into BBK. 

Kill BBK first, then Setti. Bride does nothing after S3.

Dont have Ilynav? Diene and Doris are also fine. Diene is better tho. Fighter Maya also works perfectly fine."
Attack,Unit 2,Young Senya,"Just be giga tanky. Can put Ilynav on Adamant Shield. 

S3 Young Senya, S3 Alencia (yes, we dont care about Bride S3 but we care about def buff); S3 Ilynav into BBK. 

Kill BBK first, then Setti. Bride does nothing after S3.

Dont have Ilynav? Diene and Doris are also fine. Diene is better tho. Fighter Maya also works perfectly fine."
Attack,Unit 3,Alencia,"Just be giga tanky. Can put Ilynav on Adamant Shield. 

S3 Young Senya, S3 Alencia (yes, we dont care about Bride S3 but we care about def buff); S3 Ilynav into BBK. 

Kill BBK first, then Setti. Bride does nothing after S3.

Dont have Ilynav? Diene and Doris are also fine. Diene is better tho. Fighter Maya also works perfectly fine."
Defense,Unit 1,Harsetti,"Arti:
Handguy on Sweet Miracoli (lvl 30 & absolutely mandatory)
Yulha on Holy Sac (lvl 30 & absolutely mandatory)
Flan ideally Dreamlike Holiday, if u wanna be dank Bloodstone will work, too

Strat:
Setti S3, RNG-Jesus takes the wheel. Assume enemy flan takes 2nd turn, she S3s into Yulha, most likely doesnt kill. Mort S3, kills Yulha, comes back. 

Yulha S3 to kill Flan (guarantee); Handguy S3; Flan S3 into Setti. 
Kill order: Flan (via Yulha, nobody else touches her); Setti; Mort"
Defense,Unit 2,Mort,"Arti:
Handguy on Sweet Miracoli (lvl 30 & absolutely mandatory)
Yulha on Holy Sac (lvl 30 & absolutely mandatory)
Flan ideally Dreamlike Holiday, if u wanna be dank Bloodstone will work, too

Strat:
Setti S3, RNG-Jesus takes the wheel. Assume enemy flan takes 2nd turn, she S3s into Yulha, most likely doesnt kill. Mort S3, kills Yulha, comes back. 

Yulha S3 to kill Flan (guarantee); Handguy S3; Flan S3 into Setti. 
Kill order: Flan (via Yulha, nobody else touches her); Setti; Mort"
Defense,Unit 3,Afternoon Soak Flan,"Arti:
Handguy on Sweet Miracoli (lvl 30 & absolutely mandatory)
Yulha on Holy Sac (lvl 30 & absolutely mandatory)
Flan ideally Dreamlike Holiday, if u wanna be dank Bloodstone will work, too

Strat:
Setti S3, RNG-Jesus takes the wheel. Assume enemy flan takes 2nd turn, she S3s into Yulha, most likely doesnt kill. Mort S3, kills Yulha, comes back. 

Yulha S3 to kill Flan (guarantee); Handguy S3; Flan S3 into Setti. 
Kill order: Flan (via Yulha, nobody else touches her); Setti; Mort"
Attack,Unit 1,Mediator Kawerik,"Arti:
Handguy on Sweet Miracoli (lvl 30 & absolutely mandatory)
Yulha on Holy Sac (lvl 30 & absolutely mandatory)
Flan ideally Dreamlike Holiday, if u wanna be dank Bloodstone will work, too

Strat:
Setti S3, RNG-Jesus takes the wheel. Assume enemy flan takes 2nd turn, she S3s into Yulha, most likely doesnt kill. Mort S3, kills Yulha, comes back. 

Yulha S3 to kill Flan (guarantee); Handguy S3; Flan S3 into Setti. 
Kill order: Flan (via Yulha, nobody else touches her); Setti; Mort"
Attack,Unit 2,Yulha,"Arti:
Handguy on Sweet Miracoli (lvl 30 & absolutely mandatory)
Yulha on Holy Sac (lvl 30 & absolutely mandatory)
Flan ideally Dreamlike Holiday, if u wanna be dank Bloodstone will work, too

Strat:
Setti S3, RNG-Jesus takes the wheel. Assume enemy flan takes 2nd turn, she S3s into Yulha, most likely doesnt kill. Mort S3, kills Yulha, comes back. 

Yulha S3 to kill Flan (guarantee); Handguy S3; Flan S3 into Setti. 
Kill order: Flan (via Yulha, nobody else touches her); Setti; Mort"
Attack,Unit 3,Afternoon Soak Flan,"Arti:
Handguy on Sweet Miracoli (lvl 30 & absolutely mandatory)
Yulha on Holy Sac (lvl 30 & absolutely mandatory)
Flan ideally Dreamlike Holiday, if u wanna be dank Bloodstone will work, too

Strat:
Setti S3, RNG-Jesus takes the wheel. Assume enemy flan takes 2nd turn, she S3s into Yulha, most likely doesnt kill. Mort S3, kills Yulha, comes back. 

Yulha S3 to kill Flan (guarantee); Handguy S3; Flan S3 into Setti. 
Kill order: Flan (via Yulha, nobody else touches her); Setti; Mort"
